,error_down,error_up,error_stay,mean_dist,total_params,file_name
0,15,17,0,131.02263896107115,643,101010222
1,14,30,0,128.95678874503818,643,101010222
2,17,48,2,130.38597376779444,643,101010222
3,37,22,0,127.1172978518066,643,101010222
4,35,14,1,127.62811573296253,"2,283",202020222
5,10,15,1,137.15696717128617,"2,283",202020222
6,18,16,2,128.77732373664568,"2,283",202020222
7,16,22,1,135.12746888001266,"2,283",202020222
8,11,14,1,133.06730021565693,"3,983",202040222
9,17,20,1,130.10861824387192,"3,983",202040222
10,15,24,2,136.9259328640906,"3,983",202040222
11,18,14,0,127.52762454792202,"3,983",202040222
12,22,20,0,129.56859260436465,"6,483",202060222
13,16,34,0,132.10275177726407,"6,483",202060222
14,25,14,1,130.35556545686177,"6,483",202060222
15,40,30,2,129.12062939444255,"6,483",202060222
16,18,13,0,133.38073169074625,"9,783",202080222
17,18,15,0,130.13487224863732,"9,783",202080222
18,19,16,1,128.20606288161105,"9,783",202080222
19,76,19,1,129.54353658347102,"9,783",202080222
20,21,13,0,133.41662226757873,"4,323",204020222
21,13,28,0,130.72332096656282,"4,323",204020222
22,36,46,2,129.9219142611417,"4,323",204020222
23,15,16,1,129.71568980082503,"4,323",204020222
24,19,65,0,130.78292127638937,"6,423",204040222
25,15,22,0,131.64026766021135,"6,423",204040222
26,9,12,0,131.7468348945862,"6,423",204040222
27,19,42,2,129.8652830613128,"6,423",204040222
28,25,13,0,133.36412339849053,"9,323",204060222
29,64,39,1,129.01054235571038,"9,323",204060222
30,14,15,0,135.1388187883857,"9,323",204060222
31,21,27,0,130.6343602660436,"9,323",204060222
32,17,13,0,130.96655288882835,"13,023",204080222
33,32,13,0,131.7154141153782,"13,023",204080222
34,16,19,0,137.62613652687963,"13,023",204080222
35,16,17,0,130.42730242170452,"13,023",204080222
36,14,111,1,133.53283438530946,"7,163",206020222
37,19,15,1,127.97787698416639,"7,163",206020222
38,15,11,0,133.34934440025725,"7,163",206020222
39,17,20,0,135.73873431164665,"7,163",206020222
40,50,18,0,130.89572027816092,"9,663",206040222
41,22,17,1,138.49964401753402,"9,663",206040222
42,23,31,3,128.78797895234362,"9,663",206040222
43,13,24,0,133.7277010943766,"9,663",206040222
44,38,23,0,131.65554384207934,"12,963",206060222
45,42,13,0,129.9710749541436,"12,963",206060222
46,51,22,2,127.72262578021424,"12,963",206060222
47,13,26,0,135.10349634546006,"12,963",206060222
48,16,15,0,134.64088570001536,"17,063",206080222
49,20,14,0,132.87761108256151,"17,063",206080222
50,16,22,0,130.9970591447584,"17,063",206080222
51,25,20,0,136.9320871957583,"17,063",206080222
52,46,101,1,132.23952303936758,"10,803",208020222
53,13,15,1,128.79568981023425,"10,803",208020222
54,20,16,0,134.37484878034883,"10,803",208020222
55,16,99,1,129.41165210009171,"10,803",208020222
56,21,15,1,138.41331878221632,"13,703",208040222
57,15,17,0,132.27021681298334,"13,703",208040222
58,16,37,1,131.5427950484505,"13,703",208040222
59,23,12,1,132.98034050282183,"13,703",208040222
60,22,12,0,136.98164686948792,"17,403",208060222
61,18,13,0,135.65614592467722,"17,403",208060222
62,12,15,0,137.38771908367733,"17,403",208060222
63,10,9,1,136.55453423294415,"17,403",208060222
64,22,15,0,130.33799946836942,"21,903",208080222
65,15,15,0,132.19249604210248,"21,903",208080222
66,12,17,0,132.16058403349825,"21,903",208080222
67,20,20,1,130.80740917112664,"21,903",208080222
68,26,35,1,129.2645462739865,"4,023",402020222
69,17,15,0,135.5798269274213,"4,023",402020222
70,20,26,0,131.12033809357908,"4,023",402020222
71,20,14,1,129.19728656212754,"4,023",402020222
72,12,14,0,135.49728094407834,"5,723",402040222
73,20,18,0,133.121279686454,"5,723",402040222
74,22,22,0,131.19647855167506,"5,723",402040222
75,83,16,0,129.96548494233946,"5,723",402040222
76,19,13,0,131.5531987495179,"8,223",402060222
77,20,17,1,130.24207198514387,"8,223",402060222
78,14,17,1,129.44833144761535,"8,223",402060222
